price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,furnished,semi-furnished,unfurnished
75600,6000,4,2,4,1,0,0,0,1,1,1,0,0
75600,6000,3,2,3,1,0,0,0,1,0,0,1,0
75250,6000,3,2,4,1,0,0,0,1,1,1,0,0
74900,6600,3,1,4,1,0,0,0,1,3,1,0,0
74550,4300,3,2,2,1,0,1,0,0,1,0,0,1
74200,7440,3,2,1,1,1,1,0,1,0,0,1,0
74200,7440,3,2,4,1,0,0,0,0,1,0,0,1
74200,6325,3,1,4,1,0,0,0,1,1,0,0,1
73500,6000,4,2,4,1,1,0,0,1,1,1,0,0
73500,5150,3,2,4,1,0,0,0,1,2,0,1,0
73500,6000,3,2,2,1,1,0,0,1,1,0,1,0
73500,6000,3,1,2,1,0,0,0,1,1,0,0,1
73430,11440,4,1,2,1,0,1,0,0,1,0,1,0
72450,9000,4,2,4,1,1,0,0,1,1,1,0,0
72100,7680,4,2,4,1,1,0,0,1,1,0,1,0
72100,6000,3,2,4,1,1,0,0,1,1,1,0,0
71400,6000,3,2,2,1,1,0,0,0,1,0,1,0
70700,8880,2,1,1,1,0,0,0,1,1,0,1,0
70700,6240,4,2,2,1,0,0,0,1,1,1,0,0
70350,6360,4,2,3,1,0,0,0,1,2,1,0,0
70000,11175,3,1,1,1,0,1,0,1,1,1,0,0
69300,8880,3,2,2,1,0,1,0,1,1,1,0,0
69300,13200,2,1,1,1,0,1,1,0,1,1,0,0
68950,7700,3,2,1,1,0,0,0,0,2,0,0,1
68600,6000,3,1,1,1,0,0,0,1,1,1,0,0
67900,12090,4,2,2,1,0,0,0,0,2,1,0,0
67900,4000,3,2,2,1,0,1,0,1,0,0,1,0
67550,6000,4,2,4,1,0,0,0,1,0,0,0,1
67200,5020,3,1,4,1,0,0,0,1,0,0,0,1
66850,6600,2,2,4,1,0,1,0,0,0,1,0,0
66500,4040,3,1,2,1,0,1,1,0,1,1,0,0
66500,4260,4,2,2,1,0,0,1,0,0,0,1,0
66500,6420,3,2,3,1,0,0,0,1,0,1,0,0
66500,6500,3,2,3,1,0,0,0,1,0,1,0,0
66500,5700,3,1,1,1,1,1,0,1,2,1,0,0
66500,6000,3,2,3,1,1,0,0,1,0,1,0,0
66290,6000,3,1,2,1,0,0,1,0,1,0,1,0
66150,4000,3,2,2,1,0,1,0,1,1,0,1,0
66150,10500,3,2,1,1,0,1,0,1,1,1,0,0
65800,6000,3,2,4,1,0,0,0,1,0,0,1,0
65100,3760,3,1,2,1,0,0,1,0,2,0,1,0
65100,8250,3,2,3,1,0,0,0,1,0,1,0,0
65100,6670,3,1,3,1,0,1,0,0,0,0,0,1
64750,3960,3,1,1,1,0,1,0,0,2,0,1,0
64750,7410,3,1,1,1,1,1,0,1,2,0,0,1
64400,8580,5,3,2,1,0,0,0,0,2,1,0,0
64400,5000,3,1,2,1,0,0,0,1,0,0,1,0
64190,6750,2,1,1,1,1,1,0,0,2,1,0,0
64050,4800,3,2,4,1,1,0,0,1,0,1,0,0
63000,7200,3,2,1,1,0,1,0,1,3,0,1,0
63000,6000,4,2,4,1,0,0,0,0,1,0,1,0
63000,4100,3,2,3,1,0,0,0,1,2,0,1,0
63000,9000,3,1,1,1,0,1,0,0,1,1,0,0
63000,6400,3,1,1,1,1,1,0,1,1,0,1,0
62930,6600,3,2,3,1,0,0,0,1,0,0,0,1
62650,6000,4,1,3,1,1,1,0,0,0,0,0,1
62300,6600,3,2,1,1,0,1,0,1,0,0,0,1
62300,5500,3,1,3,1,0,0,0,0,1,0,0,1
61950,5500,3,2,4,1,1,0,0,1,1,0,1,0
61950,6350,3,2,3,1,1,0,0,1,0,1,0,0
61950,5500,3,2,1,1,1,1,0,0,2,1,0,0
61600,4500,3,1,4,1,0,0,0,1,0,0,0,1
61600,5450,4,2,1,1,0,1,0,1,0,0,1,0
61250,6420,3,1,3,1,0,1,0,0,0,0,0,1
61075,3240,4,1,3,1,0,0,0,0,1,0,1,0
60900,6615,4,2,2,1,1,0,1,0,1,0,1,0
60900,6600,3,1,1,1,1,1,0,0,2,0,1,0
60900,8372,3,1,3,1,0,0,0,1,2,0,0,1
60830,4300,6,2,2,1,0,0,0,0,0,1,0,0
60830,9620,3,1,1,1,0,1,0,0,2,1,0,0
60200,6800,2,1,1,1,1,1,0,0,2,1,0,0
60200,8000,3,1,1,1,1,1,0,1,2,0,1,0
60200,6900,3,2,1,1,1,1,0,0,0,0,0,1
59500,3700,4,1,2,1,1,0,0,1,0,1,0,0
59500,6420,3,1,1,1,0,1,0,1,0,1,0,0
59500,7020,3,1,1,1,0,1,0,1,2,0,1,0
59500,6540,3,1,1,1,1,1,0,0,2,1,0,0
59500,7231,3,1,2,1,1,1,0,1,0,0,1,0
59500,6254,4,2,1,1,0,1,0,0,1,0,1,0
59500,7320,4,2,2,1,0,0,0,0,0,1,0,0
59500,6525,3,2,4,1,0,0,0,0,1,1,0,0
59430,15600,3,1,1,1,0,0,0,1,2,0,1,0
58800,7160,3,1,1,1,0,1,0,0,2,0,0,1
58800,6500,3,2,3,1,0,0,0,1,0,0,0,1
58730,5500,3,1,3,1,1,0,0,1,1,1,0,0
58730,11460,3,1,3,1,0,0,0,0,2,0,1,0
58660,4800,3,1,1,1,1,1,0,0,0,0,0,1
58100,5828,4,1,4,1,1,0,0,0,0,0,1,0
58100,5200,3,1,3,1,0,0,0,1,0,0,1,0
58100,4800,3,1,3,1,0,0,0,1,0,0,0,1
58030,7000,3,1,1,1,0,1,0,0,2,0,1,0
57750,6000,3,2,4,1,0,0,0,1,0,0,0,1
57400,5400,4,2,2,1,0,0,0,1,2,0,0,1
57400,4640,4,1,2,1,0,0,0,0,1,0,1,0
57400,5000,3,1,3,1,0,0,0,1,0,0,1,0
57400,6360,3,1,1,1,1,1,0,1,2,1,0,0
57400,5800,3,2,4,1,0,0,0,1,0,0,0,1
56525,6660,4,2,2,1,1,1,0,0,1,0,1,0
56000,10500,4,2,2,1,0,0,0,0,1,0,1,0
56000,4800,5,2,3,0,0,1,1,0,0,0,0,1
56000,4700,4,1,2,1,1,1,0,1,1,1,0,0
56000,5000,3,1,4,1,0,0,0,0,0,1,0,0
56000,10500,2,1,1,1,0,0,0,0,1,0,1,0
56000,5500,3,2,2,1,0,0,0,0,1,0,1,0
56000,6360,3,1,3,1,0,0,0,0,0,0,1,0
56000,6600,4,2,1,1,0,1,0,0,0,0,1,0
56000,5136,3,1,2,1,1,1,0,1,0,0,0,1
55650,4400,4,1,2,1,0,0,0,1,2,0,1,0
55650,5400,5,1,2,1,1,1,0,1,0,1,0,0
55300,3300,3,3,2,1,0,1,0,0,0,0,1,0
55300,3650,3,2,2,1,0,0,0,0,2,0,1,0
55300,6100,3,2,1,1,0,1,0,0,2,1,0,0
55230,6900,3,1,1,1,1,1,0,0,0,0,1,0
54950,2817,4,2,2,0,1,1,0,0,1,1,0,0
54950,7980,3,1,1,1,0,0,0,0,2,0,1,0
54600,3150,3,2,1,1,1,1,0,1,0,1,0,0
54600,6210,4,1,4,1,1,0,0,1,0,1,0,0
54600,6100,3,1,3,1,1,0,0,1,0,0,1,0
54600,6600,4,2,2,1,1,1,0,0,0,0,1,0
54250,6825,3,1,1,1,1,1,0,1,0,0,1,0
53900,6710,3,2,2,1,1,1,0,0,1,1,0,0
53830,6450,3,2,1,1,1,1,1,0,0,0,0,1
53200,7800,3,1,1,1,0,1,0,1,2,0,0,1
52850,4600,2,2,1,1,0,0,0,1,2,0,1,0
52500,4260,4,1,2,1,0,1,0,1,0,1,0,0
52500,6540,4,2,2,0,0,0,0,1,0,0,1,0
52500,5500,3,2,1,1,0,1,0,0,0,0,1,0
52500,10269,3,1,1,1,0,0,0,0,1,0,1,0
52500,8400,3,1,2,1,1,1,0,1,2,0,0,1
52500,5300,4,2,1,1,0,0,0,1,0,0,0,1
52500,3800,3,1,2,1,1,1,0,0,1,0,0,1
52500,9800,4,2,2,1,1,0,0,0,2,0,1,0
52500,8520,3,1,1,1,0,0,0,1,2,1,0,0
52430,6050,3,1,1,1,0,1,0,0,0,0,1,0
52290,7085,3,1,1,1,1,1,0,0,2,0,1,0
52150,3180,3,2,2,1,0,0,0,0,2,0,1,0
52150,4500,4,2,1,0,0,1,0,1,2,0,1,0
52150,7200,3,1,2,1,1,1,0,0,1,1,0,0
51450,3410,3,1,2,0,0,0,0,1,0,0,1,0
51450,7980,3,1,1,1,0,0,0,0,1,0,1,0
51100,3000,3,2,2,1,1,1,0,0,0,1,0,0
51100,3000,3,1,2,1,0,1,0,0,0,0,0,1
51100,11410,2,1,2,1,0,0,0,0,0,1,0,0
51100,6100,3,1,1,1,0,1,0,1,0,0,1,0
50750,5720,2,1,2,1,0,0,0,1,0,0,0,1
50400,3540,2,1,1,0,1,1,0,0,0,0,1,0
50400,7600,4,1,2,1,0,0,0,1,2,1,0,0
50400,10700,3,1,2,1,1,1,0,0,0,0,1,0
50400,6600,3,1,1,1,1,1,0,0,0,1,0,0
50330,4800,2,1,1,1,1,1,0,0,0,0,1,0
50050,8150,3,2,1,1,1,1,0,0,0,0,1,0
49700,4410,4,3,2,1,0,1,0,0,2,0,1,0
49700,7686,3,1,1,1,1,1,1,0,0,0,1,0
49560,2800,3,2,2,0,0,1,0,1,1,0,1,0
49350,5948,3,1,2,1,0,0,0,1,0,0,1,0
49070,4200,3,1,2,1,0,0,0,0,1,1,0,0
49000,4520,3,1,2,1,0,1,0,1,0,0,1,0
49000,4095,3,1,2,0,1,1,0,1,0,0,1,0
49000,4120,2,1,1,1,0,1,0,0,1,0,1,0
49000,5400,4,1,2,1,0,0,0,0,0,0,1,0
49000,4770,3,1,1,1,1,1,0,0,0,0,1,0
49000,6300,3,1,1,1,0,0,0,1,2,0,1,0
49000,5800,2,1,1,1,1,1,0,1,0,0,1,0
49000,3000,3,1,2,1,0,1,0,1,0,0,1,0
49000,2970,3,1,3,1,0,0,0,0,0,0,1,0
49000,6720,3,1,1,1,0,0,0,0,0,0,0,1
49000,4646,3,1,2,1,1,1,0,0,2,0,1,0
49000,12900,3,1,1,1,0,0,0,0,2,1,0,0
48930,3420,4,2,2,1,0,1,0,1,2,0,1,0
48930,4995,4,2,1,1,0,1,0,0,0,0,1,0
48650,4350,2,1,1,1,0,1,0,0,0,0,0,1
48300,4160,3,1,3,1,0,0,0,0,0,0,0,1
48300,6040,3,1,1,1,0,0,0,0,2,0,1,0
48300,6862,3,1,2,1,0,0,0,1,2,1,0,0
48300,4815,2,1,1,1,0,0,0,1,0,0,1,0
47950,7000,3,1,2,1,0,1,0,0,0,0,0,1
47950,8100,4,1,4,1,0,1,0,1,2,0,1,0
47670,3420,4,2,2,1,0,0,0,0,0,0,1,0
47600,9166,2,1,1,1,0,1,0,1,2,0,1,0
47600,6321,3,1,2,1,0,1,0,1,1,1,0,0
47600,10240,2,1,1,1,0,0,0,1,2,0,0,1
47530,6440,2,1,1,1,0,0,0,1,3,0,1,0
46900,5170,3,1,4,1,0,0,0,1,0,0,1,0
46900,6000,2,1,1,1,0,1,0,1,1,1,0,0
46900,3630,3,1,2,1,0,0,0,0,2,0,1,0
46900,9667,4,2,2,1,1,1,0,0,1,0,1,0
46900,5400,2,1,2,1,0,0,0,0,0,0,1,0
46900,4320,3,1,1,1,0,0,0,0,0,0,1,0
46550,3745,3,1,2,1,0,1,0,0,0,1,0,0
46200,4160,3,1,1,1,1,1,0,1,0,0,0,1
46200,3880,3,2,2,1,0,1,0,0,2,0,1,0
46200,5680,3,1,2,1,1,0,0,1,1,0,1,0
46200,2870,2,1,2,1,1,1,0,0,0,0,1,0
46200,5010,3,1,2,1,0,1,0,0,0,0,1,0
46130,4510,4,2,2,1,0,1,0,0,0,0,1,0
45850,4000,3,1,2,1,0,0,0,0,1,1,0,0
45850,3840,3,1,2,1,0,0,0,0,1,0,1,0
45500,3760,3,1,1,1,0,0,0,0,2,0,1,0
45500,3640,3,1,2,1,0,0,0,1,0,1,0,0
45500,2550,3,1,2,1,0,1,0,0,0,1,0,0
45500,5320,3,1,2,1,1,1,0,0,0,0,1,0
45500,5360,3,1,2,1,0,0,0,0,2,0,0,1
45500,3520,3,1,1,1,0,0,0,0,0,0,1,0
45500,8400,4,1,4,1,0,0,0,0,3,0,0,1
45430,4100,2,2,1,1,1,1,0,0,0,0,1,0
45430,4990,4,2,2,1,1,1,0,0,0,1,0,0
45150,3510,3,1,3,1,0,0,0,0,0,0,1,0
45150,3450,3,1,2,1,0,1,0,0,1,0,1,0
45150,9860,3,1,1,1,0,0,0,0,0,0,1,0
45150,3520,2,1,2,1,0,0,0,0,0,1,0,0
44800,4510,4,1,2,1,0,0,0,1,2,0,1,0
44800,5885,2,1,1,1,0,0,0,1,1,0,0,1
44800,4000,3,1,2,1,0,0,0,0,2,1,0,0
44800,8250,3,1,1,1,0,0,0,0,0,1,0,0
44800,4040,3,1,2,1,0,0,0,0,1,0,1,0
44730,6360,2,1,1,1,0,1,0,1,1,1,0,0
44730,3162,3,1,2,1,0,0,0,1,1,1,0,0
44730,3510,3,1,2,1,0,0,0,0,0,0,1,0
44450,3750,2,1,1,1,1,1,0,0,0,0,1,0
44100,3968,3,1,2,0,0,0,0,0,0,0,1,0
44100,4900,2,1,2,1,0,1,0,0,0,0,1,0
44030,2880,3,1,2,1,0,0,0,0,0,0,1,0
44030,4880,3,1,1,1,0,0,0,0,2,0,0,1
44030,4920,3,1,2,1,0,0,0,0,1,0,1,0
43820,4950,4,1,2,1,0,0,0,1,0,0,1,0
43750,3900,3,1,2,1,0,0,0,0,0,0,0,1
43400,4500,3,2,3,1,0,0,1,0,1,1,0,0
43400,1905,5,1,2,0,0,1,0,0,0,0,1,0
43400,4075,3,1,1,1,1,1,0,0,2,0,1,0
43400,3500,4,1,2,1,0,0,0,0,2,1,0,0
43400,6450,4,1,2,1,0,0,0,0,0,0,1,0
43190,4032,2,1,1,1,0,1,0,0,0,1,0,0
43050,4400,2,1,1,1,0,0,0,0,1,0,1,0
43050,10360,2,1,1,1,0,0,0,0,1,0,1,0
42770,3400,3,1,2,1,0,1,0,0,2,0,1,0
42700,6360,2,1,1,1,0,0,0,0,0,1,0,0
42700,6360,2,1,2,1,0,0,0,0,0,0,0,1
42700,4500,2,1,1,1,0,0,0,1,2,1,0,0
42700,2175,3,1,2,0,1,1,0,1,0,0,0,1
42700,4360,4,1,2,1,0,0,0,0,0,1,0,0
42700,7770,2,1,1,1,0,0,0,0,1,1,0,0
42350,6650,3,1,2,1,1,0,0,0,0,0,1,0
42350,2787,3,1,1,1,0,1,0,0,0,1,0,0
42000,5500,3,1,2,1,0,0,0,1,0,0,0,1
42000,5040,3,1,2,1,0,1,0,1,0,0,0,1
42000,5850,2,1,1,1,1,1,0,0,2,0,1,0
42000,2610,4,3,2,0,0,0,0,0,0,0,1,0
42000,2953,3,1,2,1,0,1,0,1,0,0,0,1
42000,2747,4,2,2,0,0,0,0,0,0,0,1,0
42000,4410,2,1,1,0,0,0,0,0,1,0,0,1
42000,4000,4,2,2,0,0,0,0,0,0,0,1,0
42000,2325,3,1,2,0,0,0,0,0,0,0,1,0
42000,4600,3,2,2,1,0,0,0,1,1,0,1,0
42000,3640,3,2,2,1,0,1,0,0,0,0,0,1
42000,5800,3,1,1,1,0,0,1,0,2,0,1,0
42000,7000,3,1,1,1,0,0,0,0,3,1,0,0
42000,4079,3,1,3,1,0,0,0,0,0,0,1,0
42000,3520,3,1,2,1,0,0,0,0,0,0,1,0
42000,2145,3,1,3,1,0,0,0,0,1,0,0,1
42000,4500,3,1,1,1,0,1,0,0,0,1,0,0
41930,8250,3,1,1,1,0,1,0,0,3,0,1,0
41930,3450,3,1,2,1,0,0,0,0,1,0,1,0
41650,4840,3,1,2,1,0,0,0,0,1,0,1,0
41650,4080,3,1,2,1,0,0,0,0,2,0,1,0
41650,4046,3,1,2,1,0,1,0,0,1,0,1,0
41300,4632,4,1,2,1,0,0,0,1,0,0,1,0
41300,5985,3,1,1,1,0,1,0,0,0,0,1,0
41230,6060,2,1,1,1,0,1,0,0,1,0,1,0
40985,3600,3,1,1,1,0,1,0,1,0,1,0,0
40950,3680,3,2,2,1,0,0,0,0,0,0,1,0
40950,4040,2,1,2,1,0,0,0,0,1,0,1,0
40950,5600,2,1,1,1,0,0,0,1,0,0,1,0
40600,5900,4,2,2,0,0,1,0,0,1,0,0,1
40600,4992,3,2,2,1,0,0,0,0,2,0,0,1
40600,4340,3,1,1,1,0,0,0,0,0,0,1,0
40600,3000,4,1,3,1,0,1,0,1,2,0,1,0
40600,4320,3,1,2,1,0,0,0,0,2,1,0,0
40250,3630,3,2,2,1,0,0,1,0,2,0,1,0
40250,3460,3,2,1,1,0,1,0,1,1,1,0,0
40250,5400,3,1,1,1,0,0,0,0,3,0,1,0
40075,4500,3,1,2,0,0,1,0,1,0,0,1,0
40075,3460,4,1,2,1,0,0,0,1,0,0,1,0
39900,4100,4,1,1,0,0,1,0,0,0,0,0,1
39900,6480,3,1,2,0,0,0,0,1,1,0,1,0
39900,4500,3,2,2,0,0,1,0,1,0,0,1,0
39900,3960,3,1,2,1,0,0,0,0,0,1,0,0
39900,4050,2,1,2,1,1,1,0,0,0,0,0,1
39200,7260,3,2,1,1,1,1,0,0,3,1,0,0
39200,5500,4,1,2,1,1,1,0,0,0,0,1,0
39200,3000,3,1,2,1,0,0,0,0,0,0,1,0
39200,3290,2,1,1,1,0,0,1,0,1,1,0,0
39200,3816,2,1,1,1,0,1,0,1,2,1,0,0
39200,8080,3,1,1,1,0,0,0,1,2,0,1,0
39200,2145,4,2,1,1,0,1,0,0,0,0,0,1
38850,3780,2,1,2,1,1,1,0,0,0,0,1,0
38850,3180,4,2,2,1,0,0,0,0,0,1,0,0
38500,5300,5,2,2,1,0,0,0,0,0,0,1,0
38500,3180,2,2,1,1,0,1,0,0,2,0,1,0
38500,7152,3,1,2,1,0,0,0,1,0,1,0,0
38500,4080,2,1,1,1,0,0,0,0,0,0,1,0
38500,3850,2,1,1,1,0,0,0,0,0,0,1,0
38500,2015,3,1,2,1,0,1,0,0,0,0,1,0
38500,2176,2,1,2,1,1,0,0,0,0,0,1,0
38360,3350,3,1,2,1,0,0,0,0,0,0,0,1
38150,3150,2,2,1,0,0,1,0,0,0,0,1,0
37800,4820,3,1,2,1,0,0,0,0,0,0,1,0
37800,3420,2,1,2,1,0,0,1,0,1,0,1,0
37800,3600,2,1,1,1,0,0,0,0,0,0,1,0
37800,5830,2,1,1,1,0,0,0,0,2,0,0,1
37800,2856,3,1,3,1,0,0,0,0,0,1,0,0
37800,8400,2,1,1,1,0,0,0,0,1,1,0,0
37730,8250,3,1,1,1,0,0,0,0,2,1,0,0
37730,2520,5,2,1,0,0,1,0,1,1,1,0,0
37730,6930,4,1,2,0,0,0,0,0,1,1,0,0
37450,3480,2,1,1,1,0,0,0,0,0,0,1,0
37100,3600,3,1,1,1,0,0,0,0,1,0,0,1
37100,4040,2,1,1,1,0,0,0,0,0,0,1,0
37100,6020,3,1,1,1,0,0,0,0,0,0,1,0
37100,4050,2,1,1,1,0,0,0,0,0,1,0,0
37100,3584,2,1,1,1,0,0,1,0,0,0,1,0
37030,3120,3,1,2,0,0,1,1,0,0,0,1,0
37030,5450,2,1,1,1,0,0,0,0,0,1,0,0
36750,3630,2,1,1,1,0,1,0,0,0,1,0,0
36750,3630,2,1,1,1,0,0,0,1,0,0,0,1
36750,5640,2,1,1,0,0,0,0,0,0,0,1,0
36750,3600,2,1,1,1,0,0,0,0,0,1,0,0
36400,4280,2,1,1,1,0,0,0,1,2,0,1,0
36400,3570,3,1,2,1,0,1,0,0,0,0,1,0
36400,3180,3,1,2,0,0,1,0,0,0,0,1,0
36400,3000,2,1,2,1,0,0,0,1,0,1,0,0
36400,3520,2,2,1,1,0,1,0,0,0,0,1,0
36400,5960,3,1,2,1,1,1,0,0,0,0,0,1
36400,4130,3,2,2,1,0,0,0,0,2,0,1,0
36400,2850,3,2,2,0,0,1,0,0,0,0,0,1
36400,2275,3,1,3,1,0,0,1,1,0,0,1,0
36330,3520,3,1,1,1,0,0,0,0,2,0,0,1
36050,4500,2,1,1,1,0,0,0,0,0,0,1,0
36050,4000,2,1,1,1,0,0,0,0,0,0,1,0
35700,3150,3,1,2,1,0,1,0,0,0,1,0,0
35700,4500,4,2,2,1,0,1,0,0,2,1,0,0
35700,4500,2,1,1,0,0,0,0,0,0,1,0,0
35700,3640,2,1,1,1,0,0,0,0,0,0,0,1
35350,3850,3,1,1,1,0,0,0,0,2,0,0,1
35000,4240,3,1,2,1,0,0,0,1,0,0,1,0
35000,3650,3,1,2,1,0,0,0,0,0,0,0,1
35000,4600,4,1,2,1,0,0,0,0,0,0,1,0
35000,2135,3,2,2,0,0,0,0,0,0,0,0,1
35000,3036,3,1,2,1,0,1,0,0,0,0,1,0
35000,3990,3,1,2,1,0,0,0,0,0,0,1,0
35000,7424,3,1,1,0,0,0,0,0,0,0,0,1
35000,3480,3,1,1,0,0,0,0,1,0,0,0,1
35000,3600,6,1,2,1,0,0,0,0,1,0,0,1
35000,3640,2,1,1,1,0,0,0,0,1,0,1,0
35000,5900,2,1,1,1,0,0,0,0,1,1,0,0
35000,3120,3,1,2,1,0,0,0,0,1,0,0,1
35000,7350,2,1,1,1,0,0,0,0,1,0,1,0
35000,3512,2,1,1,1,0,0,0,0,1,0,0,1
35000,9500,3,1,2,1,0,0,0,0,3,0,0,1
35000,5880,2,1,1,1,0,0,0,0,0,0,0,1
35000,12944,3,1,1,1,0,0,0,0,0,0,0,1
34930,4900,3,1,2,0,0,0,0,0,0,0,0,1
34650,3060,3,1,1,1,0,0,0,0,0,0,0,1
34650,5320,2,1,1,1,0,0,0,0,1,0,0,1
34650,2145,3,1,3,1,0,0,0,0,0,1,0,0
34300,4000,2,1,1,1,0,0,0,0,0,0,0,1
34300,3185,2,1,1,1,0,0,0,0,2,0,0,1
34300,3850,3,1,1,1,0,0,0,0,0,0,0,1
34300,2145,3,1,3,1,0,0,0,0,0,1,0,0
34300,2610,3,1,2,1,0,1,0,0,0,0,0,1
34300,1950,3,2,2,1,0,1,0,0,0,0,0,1
34230,4040,2,1,1,1,0,0,0,0,0,0,0,1
33950,4785,3,1,2,1,1,1,0,1,1,1,0,0
33950,3450,3,1,1,1,0,1,0,0,2,0,0,1
33950,3640,2,1,1,1,0,0,0,0,0,1,0,0
33600,3500,4,1,2,1,0,0,0,1,2,0,0,1
33600,4960,4,1,3,0,0,0,0,0,0,0,1,0
33600,4120,2,1,2,1,0,0,0,0,0,0,0,1
33600,4750,2,1,1,1,0,0,0,0,0,0,0,1
33600,3720,2,1,1,0,0,0,0,1,0,0,0,1
33600,3750,3,1,1,1,0,0,0,0,0,0,0,1
33600,3100,3,1,2,0,0,1,0,0,0,0,1,0
33600,3185,2,1,1,1,0,1,0,0,2,1,0,0
33530,2700,3,1,1,0,0,0,0,0,0,1,0,0
33320,2145,3,1,2,1,0,1,0,0,0,1,0,0
33250,4040,2,1,1,1,0,0,0,0,1,0,0,1
33250,4775,4,1,2,1,0,0,0,0,0,0,0,1
32900,2500,2,1,1,0,0,0,0,1,0,0,0,1
32900,3180,4,1,2,1,0,1,0,1,0,0,0,1
32900,6060,3,1,1,1,1,1,0,0,0,1,0,0
32900,3480,4,1,2,0,0,0,0,0,1,0,1,0
32900,3792,4,1,2,1,0,0,0,0,0,0,1,0
32900,4040,2,1,1,1,0,0,0,0,0,0,0,1
32900,2145,3,1,2,1,0,1,0,0,0,1,0,0
32900,5880,3,1,1,1,0,0,0,0,1,0,0,1
32550,4500,2,1,1,0,0,0,0,0,0,0,1,0
32550,3930,2,1,1,0,0,0,0,0,0,0,0,1
32340,3640,4,1,2,1,0,1,0,0,0,0,0,1
32200,4370,3,1,2,1,0,0,0,0,0,0,0,1
32200,2684,2,1,1,1,0,0,0,1,1,0,0,1
32200,4320,3,1,1,0,0,0,0,0,1,0,0,1
32200,3120,3,1,2,0,0,0,0,0,0,1,0,0
31500,3450,1,1,1,1,0,0,0,0,0,1,0,0
31500,3986,2,2,1,0,1,1,0,0,1,0,0,1
31500,3500,2,1,1,0,0,1,0,0,0,0,1,0
31500,4095,2,1,1,1,0,0,0,0,2,0,1,0
31500,1650,3,1,2,0,0,1,0,0,0,0,0,1
31500,3450,3,1,2,1,0,1,0,0,0,0,1,0
31500,6750,2,1,1,1,0,0,0,0,0,0,1,0
31500,9000,3,1,2,1,0,0,0,0,2,0,1,0
31500,3069,2,1,1,1,0,0,0,0,1,0,0,1
31430,4500,3,1,2,1,0,0,0,1,0,0,0,1
31290,5495,3,1,1,1,0,1,0,0,0,0,0,1
31188,2398,3,1,1,1,0,0,0,0,0,0,1,0
31150,3000,3,1,1,0,0,0,0,1,0,0,0,1
31150,3850,3,1,2,1,0,0,0,0,0,0,0,1
31150,3500,2,1,1,1,0,0,0,0,0,0,0,1
30870,8100,2,1,1,1,0,0,0,0,1,0,0,1
30800,4960,2,1,1,1,0,1,0,1,0,0,0,1
